"ngb","location","funding"
"American Canoe Association","Chula Vista",0
"American Canoe Association","Colorado Springs",0
"American Canoe Association","Lake Placid",19260
"American Canoe Association","Salt Lake City",0
"National Wheelchair Basketball Association","Chula Vista",0
"National Wheelchair Basketball Association","Colorado Springs",106085
"National Wheelchair Basketball Association","Lake Placid",0
"National Wheelchair Basketball Association","Salt Lake City",0
"Paralympic Alpine Skiing (USOPC)","Chula Vista",0
"Paralympic Alpine Skiing (USOPC)","Colorado Springs",40010
"Paralympic Alpine Skiing (USOPC)","Lake Placid",0
"Paralympic Alpine Skiing (USOPC)","Salt Lake City",0
"Paralympic Cycling (USOPC)","Chula Vista",58476
"Paralympic Cycling (USOPC)","Colorado Springs",353015
"Paralympic Cycling (USOPC)","Lake Placid",0
"Paralympic Cycling (USOPC)","Salt Lake City",0
"Paralympic Nordic Skiing (USOPC)","Chula Vista",0
"Paralympic Nordic Skiing (USOPC)","Colorado Springs",0
"Paralympic Nordic Skiing (USOPC)","Lake Placid",8100
"Paralympic Nordic Skiing (USOPC)","Salt Lake City",0
"Paralympic Powerlifting (Logan University)","Chula Vista",0
"Paralympic Powerlifting (Logan University)","Colorado Springs",0
"Paralympic Powerlifting (Logan University)","Lake Placid",0
"Paralympic Powerlifting (Logan University)","Salt Lake City",0
"Paralympic Snowboard (USOPC)","Chula Vista",0
"Paralympic Snowboard (USOPC)","Colorado Springs",57630
"Paralympic Snowboard (USOPC)","Lake Placid",0
"Paralympic Snowboard (USOPC)","Salt Lake City",0
"Paralympic Swimming (USOPC)","Chula Vista",0
"Paralympic Swimming (USOPC)","Colorado Springs",828820
"Paralympic Swimming (USOPC)","Lake Placid",0
"Paralympic Swimming (USOPC)","Salt Lake City",0
"Paralympic Track & Field (USOPC)","Chula Vista",1344029
"Paralympic Track & Field (USOPC)","Colorado Springs",720
"Paralympic Track & Field (USOPC)","Lake Placid",0
"Paralympic Track & Field (USOPC)","Salt Lake City",0
"US Association of Blind Athletes","Chula Vista",0
"US Association of Blind Athletes","Colorado Springs",0
"US Association of Blind Athletes","Lake Placid",0
"US Association of Blind Athletes","Salt Lake City",0
"US Biathlon Association","Chula Vista",0
"US Biathlon Association","Colorado Springs",0
"US Biathlon Association","Lake Placid",533145
"US Biathlon Association","Salt Lake City",123000.014
"US Bowling Congress","Chula Vista",0
"US Bowling Congress","Colorado Springs",0
"US Bowling Congress","Lake Placid",0
"US Bowling Congress","Salt Lake City",0
"US Equestrian Federation","Chula Vista",0
"US Equestrian Federation","Colorado Springs",0
"US Equestrian Federation","Lake Placid",0
"US Equestrian Federation","Salt Lake City",0
"US Figure Skating","Chula Vista",0
"US Figure Skating","Colorado Springs",301070
"US Figure Skating","Lake Placid",4020
"US Figure Skating","Salt Lake City",0
"US Sailing","Chula Vista",0
"US Sailing","Colorado Springs",2520
"US Sailing","Lake Placid",0
"US Sailing","Salt Lake City",0
"US Ski and Snowboard Association","Chula Vista",0
"US Ski and Snowboard Association","Colorado Springs",0
"US Ski and Snowboard Association","Lake Placid",388585
