ngb,Question,Answer
American Canoe Association,NCAA Sport?,No
American Canoe Association,Season,Summer
American Canoe Association,Financial Year,Jan 1 - Dec 31
American Canoe Association,Average Size of Membership 2019-20,39000
American Canoe Association,Average Size of Staff 2019-20,23
American Canoe Association,Average Expenses 2018-19,"$1,993,376.50 "
American Canoe Association,Average Revenue 2018-19,"$1,746,682.50 "
National Wheelchair Basketball Association,NCAA Sport?,No
National Wheelchair Basketball Association,Season,Summer
National Wheelchair Basketball Association,Financial Year,Data Not Available
National Wheelchair Basketball Association,Average Size of Membership 2019-20,Data Not Available
National Wheelchair Basketball Association,Average Size of Staff 2019-20,Data Not Available
National Wheelchair Basketball Association,Average Expenses 2018-19,Data Not Available
National Wheelchair Basketball Association,Average Revenue 2018-19,Data Not Available
Paralympic Alpine Skiing (USOPC),NCAA Sport?,No
Paralympic Alpine Skiing (USOPC),Season,Winter
Paralympic Alpine Skiing (USOPC),Financial Year,Data Not Available
Paralympic Alpine Skiing (USOPC),Average Size of Membership 2019-20,Data Not Available
Paralympic Alpine Skiing (USOPC),Average Size of Staff 2019-20,Data Not Available
Paralympic Alpine Skiing (USOPC),Average Expenses 2018-19,Data Not Available
Paralympic Alpine Skiing (USOPC),Average Revenue 2018-19,Data Not Available
Paralympic Cycling (USOPC),NCAA Sport?,No
Paralympic Cycling (USOPC),Season,Summer
Paralympic Cycling (USOPC),Financial Year,Data Not Available
Paralympic Cycling (USOPC),Average Size of Membership 2019-20,Data Not Available
Paralympic Cycling (USOPC),Average Size of Staff 2019-20,Data Not Available
Paralympic Cycling (USOPC),Average Expenses 2018-19,Data Not Available
Paralympic Cycling (USOPC),Average Revenue 2018-19,Data Not Available
Paralympic Nordic Skiing (USOPC),NCAA Sport?,No
Paralympic Nordic Skiing (USOPC),Season,Winter
Paralympic Nordic Skiing (USOPC),Financial Year,Data Not Available
Paralympic Nordic Skiing (USOPC),Average Size of Membership 2019-20,Data Not Available
Paralympic Nordic Skiing (USOPC),Average Size of Staff 2019-20,Data Not Available
Paralympic Nordic Skiing (USOPC),Average Expenses 2018-19,Data Not Available
Paralympic Nordic Skiing (USOPC),Average Revenue 2018-19,Data Not Available
Paralympic Powerlifting (Logan University),NCAA Sport?,No
Paralympic Powerlifting (Logan University),Season,Summer
Paralympic Powerlifting (Logan University),Financial Year,Data Not Available
Paralympic Powerlifting (Logan University),Average Size of Membership 2019-20,Data Not Available
Paralympic Powerlifting (Logan University),Average Size of Staff 2019-20,Data Not Available
Paralympic Powerlifting (Logan University),Average Expenses 2018-19,Data Not Available
Paralympic Powerlifting (Logan University),Average Revenue 2018-19,Data Not Available
Paralympic Snowboard (USOPC),NCAA Sport?,No
Paralympic Snowboard (USOPC),Season,Winter
Paralympic Snowboard (USOPC),Financial Year,Data Not Available
Paralympic Snowboard (USOPC),Average Size of Membership 2019-20,Data Not Available
Paralympic Snowboard (USOPC),Average Size of Staff 2019-20,Data Not Available
Paralympic Snowboard (USOPC),Average Expenses 2018-19,Data Not Available
Paralympic Snowboard (USOPC),Average Revenue 2018-19,Data Not Available
Paralympic Swimming (USOPC),NCAA Sport?,No
Paralympic Swimming (USOPC),Season,Summer
Paralympic Swimming (USOPC),Financial Year,Data Not Available
Paralympic Swimming (USOPC),Average Size of Membership 2019-20,Data Not Available
Paralympic Swimming (USOPC),Average Size of Staff 2019-20,Data Not Available
Paralympic Swimming (USOPC),Average Expenses 2018-19,Data Not Available
Paralympic Swimming (USOPC),Average Revenue 2018-19,Data Not Available
Paralympic Track & Field (USOPC),NCAA Sport?,No
Paralympic Track & Field (USOPC),Season,Summer
Paralympic Track & Field (USOPC),Financial Year,Data Not Available
Paralympic Track & Field (USOPC),Average Size of Membership 2019-20,Data Not Available
Paralympic Track & Field (USOPC),Average Size of Staff 2019-20,Data Not Available
Paralympic Track & Field (USOPC),Average Expenses 2018-19,Data Not Available
Paralympic Track & Field (USOPC),Average Revenue 2018-19,Data Not Available
US Association of Blind Athletes,NCAA Sport?,No
US Association of Blind Athletes,Season,Summer
US Association of Blind Athletes,Financial Year,Data Not Available
US Association of Blind Athletes,Average Size of Membership 2019-20,Data Not Available
US Association of Blind Athletes,Average Size of Staff 2019-20,Data Not Available
US Association of Blind Athletes,Average Expenses 2018-19,Data Not Available
US Association of Blind Athletes,Average Revenue 2018-19,Data Not Available
US Biathlon Association,NCAA Sport?,No
US Biathlon Association,Season,Winter
US Biathlon Association,Financial Year,Jul 1 - Jun 30
US Biathlon Association,Average Size of Membership 2019-20,900
US Biathlon Association,Average Size of Staff 2019-20,11
US Biathlon Association,Average Expenses 2018-19,"$2,859,112.50 "
US Biathlon Association,Average Revenue 2018-19,"$2,824,162 "
US Bowling Congress,NCAA Sport?,Yes
US Bowling Congress,Season,Summer
US Bowling Congress,Financial Year,Jan 1 - Dec 31
US Bowling Congress,Average Size of Membership 2019-20,1418000
US Bowling Congress,Average Size of Staff 2019-20,119
US Bowling Congress,Average Expenses 2018-19,"$35,282,226 "
US Bowling Congress,Average Revenue 2018-19,"$36,003,691 "
US Equestrian Federation,NCAA Sport?,Yes
US Equestrian Federation,Season,Summer
US Equestrian Federation,Financial Year,Dec 1 - Nov 30
US Equestrian Federation,Average Size of Membership 2019-20,125000
US Equestrian Federation,Average Size of Staff 2019-20,184
US Equestrian Federation,Average Expenses 2018-19,"$33,139,743.50 "
US Equestrian Federation,Average Revenue 2018-19,"$33,252,219.50 "
US Figure Skating,NCAA Sport?,No
US Figure Skating,Season,Winter
US Figure Skating,Financial Year,Jul 1 - Jun 30
US Figure Skating,Average Size of Membership 2019-20,181000
US Figure Skating,Average Size of Staff 2019-20,60
US Figure Skating,Average Expenses 2018-19,"$22,608,170.50 "
US Figure Skating,Average Revenue 2018-19,"$25,472,586 "
US Sailing,NCAA Sport?,No
US Sailing,Season,Summer
US Sailing,Financial Year,Jan 1 - Dec 31
US Sailing,Average Size of Membership 2019-20,46000
US Sailing,Average Size of Staff 2019-20,60
US Sailing,Average Expenses 2018-19,"$11,690,941.50 "
US Sailing,Average Revenue 2018-19,"$11,637,557.50 "
US Ski and Snowboard Association,NCAA Sport?,Yes
US Ski and Snowboard Association,Season,Winter
US Ski and Snowboard Association,Financial Year,May 1 - Apr 30
US Ski and Snowboard Association,Average Size of Membership 2019-20,35000
US Ski and Snowboard Association,Average Size of Staff 2019-20,238.5
US Ski and Snowboard Association,Average Expenses 2018-19,"$42,942,343.50 "
US Ski and Snowboard Association,Average Revenue 2018-19,"$45,684,598.50 "
US Soccer Federation,NCAA Sport?,Yes
US Soccer Federation,Season,Summer
US Soccer Federation,Financial Year,Apr 1 - Mar 31
US Soccer Federation,Average Size of Membership 2019-20,4427500
US Soccer Federation,Average Size of Staff 2019-20,1357.5
US Soccer Federation,Average Expenses 2018-19,"$120,498,385 "
US Soccer Federation,Average Revenue 2018-19,"$111,074,802.50 "
US Speedskating,NCAA Sport?,No
US Speedskating,Season,Winter
US Speedskating,Financial Year,Data Not Available
US Speedskating,Average Size of Membership 2019-20,Data Not Available
US Speedskating,Average Size of Staff 2019-20,Data Not Available
US Speedskating,Average Expenses 2018-19,Data Not Available
US Speedskating,Average Revenue 2018-19,Data Not Available
US Squash,NCAA Sport?,No
US Squash,Season,Summer
US Squash,Financial Year,Jul 1 - Jun 30
US Squash,Average Size of Membership 2019-20,18300
US Squash,Average Size of Staff 2019-20,35.5
US Squash,Average Expenses 2018-19,"$6,318,175 "
US Squash,Average Revenue 2018-19,"$10,556,499 "
US Tennis Association,NCAA Sport?,Yes
US Tennis Association,Season,Summer
US Tennis Association,Financial Year,Jan 1 - Dec 31
US Tennis Association,Average Size of Membership 2019-20,654627
US Tennis Association,Average Size of Staff 2019-20,905.5
US Tennis Association,Average Expenses 2018-19,"$477,601,000 "
US Tennis Association,Average Revenue 2018-19,"$477,017,000 "
USA Archery,NCAA Sport?,No
USA Archery,Season,Summer
USA Archery,Financial Year,Jan 1 - Dec 31
USA Archery,Average Size of Membership 2019-20,20500
USA Archery,Average Size of Staff 2019-20,19
USA Archery,Average Expenses 2018-19,"$4,630,384 "
USA Archery,Average Revenue 2018-19,"$4,629,607 "
USA Artistic Swimming,NCAA Sport?,No
USA Artistic Swimming,Season,Summer
USA Artistic Swimming,Financial Year,Data Not Available
USA Artistic Swimming,Average Size of Membership 2019-20,Data Not Available
USA Artistic Swimming,Average Size of Staff 2019-20,Data Not Available
USA Artistic Swimming,Average Expenses 2018-19,Data Not Available
USA Artistic Swimming,Average Revenue 2018-19,Data Not Available
USA Badminton,NCAA Sport?,No
USA Badminton,Season,Summer
USA Badminton,Financial Year,Jan 1 - Dec 31
USA Badminton,Average Size of Membership 2019-20,4000
USA Badminton,Average Size of Staff 2019-20,4
USA Badminton,Average Expenses 2018-19,"$958,802 "
USA Badminton,Average Revenue 2018-19,"$1,056,869 "
USA Baseball,NCAA Sport?,Yes
USA Baseball,Season,Summer
USA Baseball,Financial Year,Data Not Available
USA Baseball,Average Size of Membership 2019-20,Data Not Available
USA Baseball,Average Size of Staff 2019-20,Data Not Available
USA Baseball,Average Expenses 2018-19,Data Not Available
USA Baseball,Average Revenue 2018-19,Data Not Available
USA Basketball,NCAA Sport?,Yes
USA Basketball,Season,Summer
USA Basketball,Financial Year,Data Not Available
USA Basketball,Average Size of Membership 2019-20,Data Not Available
USA Basketball,Average Size of Staff 2019-20,Data Not Available
USA Basketball,Average Expenses 2018-19,Data Not Available
USA Basketball,Average Revenue 2018-19,Data Not Available
USA Bobsled & Skeleton,NCAA Sport?,No
USA Bobsled & Skeleton,Season,Winter
USA Bobsled & Skeleton,Financial Year,Data Not Available
USA Bobsled & Skeleton,Average Size of Membership 2019-20,Data Not Available
USA Bobsled & Skeleton,Average Size of Staff 2019-20,Data Not Available
USA Bobsled & Skeleton,Average Expenses 2018-19,Data Not Available
USA Bobsled & Skeleton,Average Revenue 2018-19,Data Not Available
USA Boccia,NCAA Sport?,No
USA Boccia,Season,Summer
USA Boccia,Financial Year,Data Not Available
USA Boccia,Average Size of Membership 2019-20,Data Not Available
USA Boccia,Average Size of Staff 2019-20,Data Not Available
USA Boccia,Average Expenses 2018-19,Data Not Available
USA Boccia,Average Revenue 2018-19,Data Not Available
USA Boxing,NCAA Sport?,No
USA Boxing,Season,Summer
USA Boxing,Financial Year,Jan 1 - Dec 31
USA Boxing,Average Size of Membership 2019-20,44514.5
USA Boxing,Average Size of Staff 2019-20,22
USA Boxing,Average Expenses 2018-19,"$6,141,063.50 "
USA Boxing,Average Revenue 2018-19,"$5,507,089 "
USA Climbing,NCAA Sport?,No
USA Climbing,Season,Summer
USA Climbing,Financial Year,Sept 1 - Aug 31
USA Climbing,Average Size of Membership 2019-20,12480
USA Climbing,Average Size of Staff 2019-20,11
USA Climbing,Average Expenses 2018-19,"$3,820,907.50 "
USA Climbing,Average Revenue 2018-19,"$3,835,859.50 "
