"ngb","sport_characteristics_olympic_paralympic_pan_american","sport_characteristics_number_events_at_games","sport_characteristics_ncaa_sport","high_performance_programs_2019_athlete_360","high_performance_programs_2019_athlete_stipends","high_performance_programs_2019_coaching_education","high_performance_programs_2019_elite_athlete_health_insurance","high_performance_programs_2019_high_performance_grants","high_performance_programs_2019_high_performance_special_grants","high_performance_programs_2019_national_medical_network","high_performance_programs_2019_operation_gold","high_performance_programs_2019_paralympic_sport_development_grants","high_performance_programs_2019_restricted_grants","high_performance_programs_2019_sport_science_services","high_performance_programs_2019_sports_medicine_clinics","athlete_training_facilities_2019_chula_vista_california","athlete_training_facilities_2019_colorado_springs_colorado","athlete_training_facilities_2019_lake_placid_new_york","athlete_training_facilities_2019_salt_lake_city_utah","high_performance_programs_2020_athlete_360","high_performance_programs_2020_athlete_stipends","high_performance_programs_2020_coaching_education","high_performance_programs_2020_covid_athlete_assistance_fund","high_performance_programs_2020_elite_athlete_health_insurance","high_performance_programs_2020_high_performance_grants","high_performance_programs_2020_high_performance_special_grants","high_performance_programs_2020_national_medical_network","high_performance_programs_2020_ngb_hpmo_covid_grants","high_performance_programs_2020_operation_gold","high_performance_programs_2020_paralympic_sport_development_grants","high_performance_programs_2020_restricted_grants","high_performance_programs_2020_sport_science_services","high_performance_programs_2020_sports_medicine_clinics","athlete_training_facilities_2020_chula_vista_california","athlete_training_facilities_2020_colorado_springs_colorado","athlete_training_facilities_2020_lake_placid_new_york","athlete_training_facilities_2020_salt_lake_city_utah","sport_characteristics_olympic","sport_characteristics_paralympic","sport_characteristics_pan_american","financial_year","membership_bucket_def","membership_bucket","avg_membership_size","revenue_bucket_def","revenue_bucket","staff_bucket_def","staff_bucket","avg_staff_size","avg_ceo_salary","avg_expenses","avg_revenue","avg_gains","gold_medals","silver_medals","bronze_medals","total_medals","Season"
"American Canoe Association","Manages both the Olympic and Paralympic sport programs","25",FALSE,"0","25000","0","4039.09","155401.54","10000","0","11875","12804","0","11704.191999999999","9227.9458034660001","0","0","0","0","0","72500","0","19771","6352.6900404970002","126729.2","25000","935.97","44415","0","0","0","6837.8695561040004","35674.472028951997","0","0","19260","0",TRUE,TRUE,FALSE,"Jan 1 - Dec 31","30,000-100,000",2,39000,"< $2M",4,"10-30",3,23,131275,1993376.5,1746682.5,-246694,4,3,1,8,"summer"
"National Wheelchair Basketball Association","Manages the Paralympic sport program","2",FALSE,"0","129992","0","133532.81","290000","5985","4143.83","0","0","0","145652.16711111099","33330.789319983","0","79120","0","0","0","149999.88","659.09","20934","134053.267580338","51639.86","0","24300.92","36415","0","40000","0","96428.801208385004","14101.689205162","0","26965","0","0",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,"summer"
"Paralympic Alpine Skiing (USOPC)","USOPC manages the Paralympic sport program","30",FALSE,"0","51825","0","44112.75","1071712.17","0","18235.09","19375","0","30000","157356.359111111","40217.316038987999","0","40010","0","0","689.90722495900002","71310","0","6978","295569.54145541298","863042.52999999898","0","6341.35","0","0","0","0","62787.081440196998","15455.824923538001","0","0","0","0",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,"winter"
"Paralympic Cycling (USOPC)","USOPC manages the Paralympic sport program","51",FALSE,"0","341496.61","0","48544.36","1398337.14","0","34710.400000000001","126250","12989","0","175562.88","108256.20002275601","25608","252505","0","0","8278.8866995070002","349818.36","0","22097","282553.61793040897","772785.98999999894","0","17774.96","0","0","14388.9","0","140213.92394574601","58928.250916933997","32868","100510","0","0",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,8,26,"summer"
"Paralympic Nordic Skiing (USOPC)","USOPC manages the Paralympic sport program","38",FALSE,"0","44400","0","3624.9","789965.56000000099","0","0","21875","0","126000","143051.23555555599","7575.1793909050002","0","0","8100","0","689.90722495900002","46100","7021.36","10467","5593.9589342549998","727688.13","0","3899.5","0","0","0","0","88596.621536374994","9665.7273691009996","0","0","0","0",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,8,"winter"
"Paralympic Powerlifting (Logan University)","Manages the Paralympic sport program","20",FALSE,"0","6000","0","349","38500","0","0","12500","30000","0","0","1101.8442750409999","0","0","0","0","0","17500","4853.75","2326","2848.7839630369999","50000","0","0","32415","0","40000","0","0","0","0","0","0","0",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,"summer"
"Paralympic Snowboard (USOPC)","USOPC manages the Paralympic sport program","8",FALSE,"0","58100","0","79896.009999999995","384806.03","0","5240.5","23125","0","30000","54619.562666667","6060.1435127240002","0","57630","0","0","0","37700","0","3489","174825.81517654899","462438.739999999","0","0","0","0","15000","0","21477.442845869002","0","0","0","0","0",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,"winter"
"Paralympic Swimming (USOPC)","USOPC manages the Paralympic sport program","146",FALSE,"1064.5135135139999","379582.7","12500","192146.42","961583.59","0","75523.72","113750","65000","0","186616.83911111101","114591.80460423999","0","631025","0","0","18282.541461412002","420562","0","24423","278982.18494245398","543329","0","244104.83","0","0","0","0","215606.63106288499","159227.682747024","0","197795","0","0",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,25,42,94,"summer"
"Paralympic Track & Field (USOPC)","USOPC manages the Paralympic sport program","167",FALSE,"0","764945","12500","235870.71","1653070.23","0","15963.59","243750","60000","0","278949.90933333302","149713.09087116501","673959","720","0","0","16212.819786534999","764600","0","69780","356635.86888363498","668174.81000000006","0","6862.87","0","0","0","0","254667.19074229401","96330.413345194","670070","0","0","0",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,43,29,108,"summer"
"US Association of Blind Athletes","Manages the Paralympic sport program","2",FALSE,"0","47000","12500","13252.72","333747.15999999997","5985","13025.26","0","23000","0","130046.577777778","10192.059544127","0","0","0","0","0","77775","4385","17445","16004.988905921","259616","0","3867","36415","0","0","0","17614.2","1867.7734046569999","0","0","0","0",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,4,"summer"
