ngb,value
American Canoe Association,USA Boxing
American Canoe Association,USA Fencing
American Canoe Association,USA Roller Sports
American Canoe Association,Less than 5 Similar NGBs
American Canoe Association,Less than 5 Similar NGBs
National Wheelchair Basketball Association,Data Not Available
National Wheelchair Basketball Association,Data Not Available
National Wheelchair Basketball Association,Data Not Available
National Wheelchair Basketball Association,Data Not Available
National Wheelchair Basketball Association,Data Not Available
Paralympic Alpine Skiing (USOPC),Data Not Available
Paralympic Alpine Skiing (USOPC),Data Not Available
Paralympic Alpine Skiing (USOPC),Data Not Available
Paralympic Alpine Skiing (USOPC),Data Not Available
Paralympic Alpine Skiing (USOPC),Data Not Available
Paralympic Cycling (USOPC),Data Not Available
Paralympic Cycling (USOPC),Data Not Available
Paralympic Cycling (USOPC),Data Not Available
Paralympic Cycling (USOPC),Data Not Available
Paralympic Cycling (USOPC),Data Not Available
Paralympic Nordic Skiing (USOPC),Data Not Available
Paralympic Nordic Skiing (USOPC),Data Not Available
Paralympic Nordic Skiing (USOPC),Data Not Available
Paralympic Nordic Skiing (USOPC),Data Not Available
Paralympic Nordic Skiing (USOPC),Data Not Available
Paralympic Powerlifting (Logan University),Data Not Available
Paralympic Powerlifting (Logan University),Data Not Available
Paralympic Powerlifting (Logan University),Data Not Available
Paralympic Powerlifting (Logan University),Data Not Available
Paralympic Powerlifting (Logan University),Data Not Available
Paralympic Snowboard (USOPC),Data Not Available
Paralympic Snowboard (USOPC),Data Not Available
Paralympic Snowboard (USOPC),Data Not Available
Paralympic Snowboard (USOPC),Data Not Available
Paralympic Snowboard (USOPC),Data Not Available
Paralympic Swimming (USOPC),Data Not Available
Paralympic Swimming (USOPC),Data Not Available
Paralympic Swimming (USOPC),Data Not Available
Paralympic Swimming (USOPC),Data Not Available
Paralympic Swimming (USOPC),Data Not Available
Paralympic Track & Field (USOPC),Data Not Available
Paralympic Track & Field (USOPC),Data Not Available
Paralympic Track & Field (USOPC),Data Not Available
Paralympic Track & Field (USOPC),Data Not Available
Paralympic Track & Field (USOPC),Data Not Available
US Association of Blind Athletes,Data Not Available
US Association of Blind Athletes,Data Not Available
US Association of Blind Athletes,Data Not Available
US Association of Blind Athletes,Data Not Available
US Association of Blind Athletes,Data Not Available
US Biathlon Association,USA Diving
US Biathlon Association,USA Table Tennis
US Biathlon Association,USA Archery
US Biathlon Association,USA Boxing
US Biathlon Association,USA Climbing
US Bowling Congress,US Equestrian Federation
US Bowling Congress,US Soccer Federation
US Bowling Congress,US Tennis Association
US Bowling Congress,USA Hockey
US Bowling Congress,USA Swimming
US Equestrian Federation,US Bowling Congress
US Equestrian Federation,US Soccer Federation
US Equestrian Federation,US Tennis Association
US Equestrian Federation,USA Hockey
US Equestrian Federation,USA Swimming
US Figure Skating,USA Rugby
US Figure Skating,US Bowling Congress
US Figure Skating,US Equestrian Federation
US Figure Skating,US Soccer Federation
US Figure Skating,US Tennis Association
US Sailing,US Squash
US Sailing,USA Cycling
US Sailing,USA Fencing
US Sailing,USA Field Hockey
US Sailing,USA Triathlon
US Ski and Snowboard Association,US Bowling Congress
US Ski and Snowboard Association,US Equestrian Federation
US Ski and Snowboard Association,US Soccer Federation
US Ski and Snowboard Association,US Tennis Association
US Ski and Snowboard Association,USA Hockey
US Soccer Federation,US Bowling Congress
US Soccer Federation,US Equestrian Federation
US Soccer Federation,US Tennis Association
US Soccer Federation,USA Hockey
US Soccer Federation,USA Swimming
US Speedskating,Data Not Available
US Speedskating,Data Not Available
US Speedskating,Data Not Available
US Speedskating,Data Not Available
US Speedskating,Data Not Available
US Squash,US Sailing
US Squash,USA Cycling
US Squash,USA Triathlon
US Squash,USA Wrestling
US Squash,Less than 5 Similar NGBs
US Tennis Association,US Bowling Congress
US Tennis Association,US Equestrian Federation
US Tennis Association,US Soccer Federation
US Tennis Association,USA Hockey
US Tennis Association,USA Swimming
USA Archery,USA Climbing
USA Archery,USA Curling
USA Archery,USA Taekwondo
USA Archery,USA Weightlifting
USA Archery,US Biathlon Association
USA Artistic Swimming,Data Not Available
USA Artistic Swimming,Data Not Available
USA Artistic Swimming,Data Not Available
USA Artistic Swimming,Data Not Available
USA Artistic Swimming,Data Not Available
USA Badminton,USA Team Handball
USA Badminton,USA Racquetball
USA Badminton,USA Roller Sports
USA Badminton,Less than 5 Similar NGBs
USA Badminton,Less than 5 Similar NGBs
USA Baseball,Data Not Available
USA Baseball,Data Not Available
USA Baseball,Data Not Available
USA Baseball,Data Not Available
USA Baseball,Data Not Available
USA Basketball,Data Not Available
USA Basketball,Data Not Available
USA Basketball,Data Not Available
USA Basketball,Data Not Available
USA Basketball,Data Not Available
USA Bobsled & Skeleton,Data Not Available
USA Bobsled & Skeleton,Data Not Available
USA Bobsled & Skeleton,Data Not Available
USA Bobsled & Skeleton,Data Not Available
USA Bobsled & Skeleton,Data Not Available
USA Boccia,Data Not Available
USA Boccia,Data Not Available
USA Boccia,Data Not Available
USA Boccia,Data Not Available
USA Boccia,Data Not Available
USA Boxing,American Canoe Association
USA Boxing,US Biathlon Association
USA Boxing,USA Archery
USA Boxing,USA Climbing
USA Boxing,USA Curling
USA Climbing,USA Archery
USA Climbing,USA Curling
USA Climbing,USA Taekwondo
USA Climbing,USA Weightlifting
USA Climbing,US Biathlon Association
USA Curling,USA Archery
USA Curling,USA Climbing
USA Curling,USA Taekwondo
USA Curling,USA Weightlifting
USA Curling,US Biathlon Association
USA Cycling,USA Triathlon
USA Cycling,USA Wrestling
USA Cycling,US Figure Skating
USA Cycling,US Sailing
USA Cycling,US Squash
USA Diving,US Biathlon Association
USA Diving,USA Table Tennis
USA Diving,USA Archery
USA Diving,USA Boxing
USA Diving,USA Climbing
USA Fencing,American Canoe Association
